Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-04-23T15:45:12+02:00,Berm,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""coupure rechts 102"", ""Dichtstbijzijnde adres"": ""Coupure 241, 9000 Gent"", ""Longitude"": 3.7148832058, ""Latitude"": 51.0472294307}",MLD2319933,Zakken,"Coupure 241, 9000 Gent",3.7148832058,51.0472294307,"51.0472294307, 3.7148832058"
2023-04-23T18:15:57+02:00,Openbare weg,Afgerond - Stopgezet,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Scandinaviëstraat, Gent"", ""Longitude"": 3.7398731074, ""Latitude"": 51.0699880906}",MLD2319943,Bouwafval;Elektrische toestellen;Meubilair;Papier en karton;Zakken,"Scandinaviëstraat, Gent",3.7398731074,51.0699880906,"51.0699880906, 3.7398731074"
2023-04-23T19:42:11+02:00,Rond afvalkorf/BBQ plaats,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Rond de inwerpcontainers: karton"", ""Dichtstbijzijnde adres"": ""Voorhavenlaan 14A, 9000 Gent"", ""Longitude"": 3.7286718335, ""Latitude"": 51.077726618}",MLD2319949,Papier en karton,"Voorhavenlaan 14A, 9000 Gent",3.7286718335,51.077726618,"51.077726618, 3.7286718335"
2023-04-23T19:42:37+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""Ingegeven huisnummer: 36?\r\nzwarte zak\r\n"", ""Dichtstbijzijnde adres"": ""Doorgangstraat 36, 9050 Gent"", ""Longitude"": 3.743091769, ""Latitude"": 51.0341659203}",MLD2319950,Zakken,"Doorgangstraat 36, 9050 Gent",3.743091769,51.0341659203,"51.0341659203, 3.743091769"
2023-04-23T19:53:28+02:00,Park of groenzone,Behandeling - In behandeling,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""rechttegenover Zandstraat 51, 9000 Gent (tegen het wandelpad in het bos)"", ""Dichtstbijzijnde adres"": ""Zandstraat 53, 9032 Gent"", ""Longitude"": 3.7103096651, ""Latitude"": 51.0773690147}",MLD2319951,Zakken,"Zandstraat 53, 9032 Gent",3.7103096651,51.0773690147,"51.0773690147, 3.7103096651"
2023-04-23T19:56:08+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Bevrijdingslaan 109, 9000 Gent"", ""Longitude"": 3.6994442243, ""Latitude"": 51.0620383409}",MLD2319952,Zakken,"Bevrijdingslaan 109, 9000 Gent",3.6994442243,51.0620383409,"51.0620383409, 3.6994442243"
2023-04-23T20:22:03+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""Hoek Zonder-Naamstraat met de Keizer Leopoldstraat ter hoogte van Zonder-Naamstraat 14"", ""Dichtstbijzijnde adres"": ""Zonder-Naamstraat 12, 9000 Gent"", ""Longitude"": 3.735230478, ""Latitude"": 51.0572376177}",MLD2319956,Elektrische toestellen;Meubilair;Papier en karton;Zakken,"Zonder-Naamstraat 12, 9000 Gent",3.735230478,51.0572376177,"51.0572376177, 3.735230478"
2023-04-23T23:27:14+02:00,Park of groenzone,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""Naast huisnummer 19 in de parking. "", ""Dichtstbijzijnde adres"": ""Reinaertstraat 19, 9000 Gent"", ""Longitude"": 3.70230916, ""Latitude"": 51.0596776671}",MLD2319959,Meubilair;Zakken,"Reinaertstraat 19, 9000 Gent",3.70230916,51.0596776671,"51.0596776671, 3.70230916"
2023-04-24T07:11:35+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Ingegeven huisnummer: 51-53\r\n\r\n"", ""Dichtstbijzijnde adres"": ""Landbouwersstraat 51, 9000 Gent"", ""Longitude"": 3.7326703057, ""Latitude"": 51.0752145454}",MLD2319961,Zakken,"Landbouwersstraat 51, 9000 Gent",3.7326703057,51.0752145454,"51.0752145454, 3.7326703057"
2023-04-24T07:47:33+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""aan ondergrondse sorteerpunt Hollainhof "", ""Dichtstbijzijnde adres"": ""Alphonse de Hollainhof 30, 9000 Gent"", ""Longitude"": 3.7371779635, ""Latitude"": 51.0443425722}",MLD2319963,Andere;Zakken,"Alphonse de Hollainhof 30, 9000 Gent",3.7371779635,51.0443425722,"51.0443425722, 3.7371779635"
